id,eventType,milestoneId,milestoneValue,title,rewardDesc,reward1,reward2,reward3,reward4
12,6700,2,5,Tiêu hao sách cường hóa 5,Cỏ may mắn x1,"[[100,64,1,0]]","[[100,64,2,0]]","[[100,64,1,0]]","[[100,64,2,0]]"
13,6700,3,10,Tiêu hao sách cường hóa 10,Cỏ may mắn x1,"[[100,64,1,0]]","[[100,64,2,0]]","[[100,64,1,0]]","[[100,64,2,0]]"
14,6700,4,15,Tiêu hao sách cường hóa 15,Cỏ may mắn x1,"[[100,64,1,0]]","[[100,64,2,0]]","[[100,64,1,0]]","[[100,64,2,0]]"
15,6700,5,20,Tiêu hao sách cường hóa 20,Cỏ may mắn x1,"[[100,64,1,0]]","[[100,64,2,0]]","[[100,64,1,0]]","[[100,64,2,0]]"
16,6700,6,30,Tiêu hao sách cường hóa 30,Cỏ may mắn x2,"[[100,64,2,0]]","[[100,64,3,0]]","[[100,64,2,0]]","[[100,64,3,0]]"
17,6700,7,40,Tiêu hao sách cường hóa 40,Cỏ may mắn x3,"[[100,64,3,0]]","[[100,64,4,0]]","[[100,64,3,0]]","[[100,64,4,0]]"
18,6700,8,50,Tiêu hao sách cường hóa 50,Cỏ may mắn x4,"[[100,64,4,0]]","[[100,64,5,0]]","[[100,64,4,0]]","[[100,64,5,0]]"
19,6700,9,100,Tiêu hao sách cường hóa 100,Cỏ may mắn x10,"[[100,64,10,0]]","[[100,64,12,0]]","[[100,64,10,0]]","[[100,64,12,0]]"
20,6700,10,200,Tiêu hao sách cường hóa 200,Cỏ may mắn x10,"[[100,64,10,0]]","[[100,64,12,0]]","[[100,64,10,0]]","[[100,64,12,0]]"
21,6700,11,300,Tiêu hao sách cường hóa 300,Cỏ may mắn x10,"[[100,64,10,0]]","[[100,64,12,0]]","[[100,64,10,0]]","[[100,64,12,0]]"
22,6700,12,400,Tiêu hao sách cường hóa 400,Cỏ may mắn x10,"[[100,64,10,0]]","[[100,64,12,0]]","[[100,64,10,0]]","[[100,64,12,0]]"
23,6700,13,600,Tiêu hao sách cường hóa 600,Cỏ may mắn x15,"[[100,64,15,0]]","[[100,64,20,0]]","[[100,64,15,0]]","[[100,64,20,0]]"
24,6700,14,800,Tiêu hao sách cường hóa 800,Cỏ may mắn x15,"[[100,64,15,0]]","[[100,64,20,0]]","[[100,64,15,0]]","[[100,64,20,0]]"
25,6700,15,1000,Tiêu hao sách cường hóa 1000,"Cỏ may mắn x15, Vòng cổ Didire dubot x1","[[100,64,150,0],[100,34,10,0]]","[[100,64,150,0],[100,34,10,0]]","[[100,64,150,0],[100,34,10,0]]","[[100,64,150,0],[100,34,10,0]]"
26,6,1,100000,Tiêu hao cát xê 100k,"Huy hiệu Tài Năng trung cấp x1, Huy hiệu Tài Năng cao cấp x1","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]"
27,6,2,200000,Tiêu hao cát xê 200k,"Huy hiệu Tài Năng trung cấp x1, Huy hiệu Tài Năng cao cấp x1","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]"
28,6,3,500000,Tiêu hao cát xê 500k,"Huy hiệu Tài Năng trung cấp x1, Huy hiệu Tài Năng cao cấp x1","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]"
29,6,4,1000000,Tiêu hao cát xê 1m,"Huy hiệu Tài Năng trung cấp x1, Huy hiệu Tài Năng cao cấp x1","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]","[[100,36,1,0],[100,37,1,0]]","[[100,36,1,0],[100,37,2,0]]"
30,6,5,2000000,Tiêu hao cát xê 2m,"Hợp đồng Kinh doanh x1, Huy hiệu Tài Năng cao cấp x2","[[100,1,1,0],[100,37,2,0]]","[[100,1,1,0],[100,37,3,0]]","[[100,1,1,0],[100,37,2,0]]","[[100,1,1,0],[100,37,3,0]]"
31,6,6,5000000,Tiêu hao cát xê 5m,"Hợp đồng Kinh doanh x1, Huy hiệu Tài Năng cao cấp x2","[[100,1,1,0],[100,37,2,0]]","[[100,1,1,0],[100,37,3,0]]","[[100,1,1,0],[100,37,2,0]]","[[100,1,1,0],[100,37,3,0]]"
32,6,7,10000000,Tiêu hao cát xê 10m,"Hợp đồng Kinh doanh x2, Huy hiệu Tài Năng cao cấp x2","[[100,1,2,0],[100,37,2,0]]","[[100,1,2,0],[100,37,3,0]]","[[100,1,2,0],[100,37,2,0]]","[[100,1,2,0],[100,37,3,0]]"
33,6,8,20000000,Tiêu hao cát xê 20m,"Huy hiệu Sáng tạo cao cấp x3, Huy hiệu Tài Năng cao cấp x3","[[100,41,3,0],[100,37,3,0]]","[[100,41,3,0],[100,37,4,0]]","[[100,41,3,0],[100,37,3,0]]","[[100,41,3,0],[100,37,4,0]]"
34,6,9,50000000,Tiêu hao cát xê 50m,"Huy hiệu Sáng tạo cao cấp x4, Huy hiệu Tài Năng cao cấp x4","[[100,41,4,0],[100,37,4,0]]","[[100,41,4,0],[100,37,5,0]]","[[100,41,4,0],[100,37,4,0]]","[[100,41,4,0],[100,37,5,0]]"
35,6,10,100000000,Tiêu hao cát xê 100m,"Huy hiệu Sáng tạo cao cấp x5, Huy hiệu Tài Năng cao cấp x5","[[100,41,5,0],[100,37,5,0]]","[[100,41,5,0],[100,37,6,0]]","[[100,41,5,0],[100,37,5,0]]","[[100,41,5,0],[100,37,6,0]]"
36,6,11,200000000,Tiêu hao cát xê 200m,"Huy hiệu Sáng tạo cao cấp x6, Huy hiệu Tài Năng cao cấp x6","[[100,41,6,0],[100,37,6,0]]","[[100,41,6,0],[100,37,7,0]]","[[100,41,6,0],[100,37,6,0]]","[[100,41,6,0],[100,37,7,0]]"
37,6,12,500000000,Tiêu hao cát xê 500m,"Huy hiệu Sáng tạo cao cấp x7, Huy hiệu Tài Năng cao cấp x7","[[100,41,7,0],[100,37,7,0]]","[[100,41,7,0],[100,37,8,0]]","[[100,41,7,0],[100,37,7,0]]","[[100,41,7,0],[100,37,8,0]]"
38,6,13,1000000000,Tiêu hao cát xê 1b,"Huy hiệu Sáng tạo cao cấp x8, Huy hiệu Tài Năng cao cấp x8","[[100,41,8,0],[100,37,8,0]]","[[100,41,8,0],[100,37,9,0]]","[[100,41,8,0],[100,37,8,0]]","[[100,41,8,0],[100,37,9,0]]"
39,6,14,2000000000,Tiêu hao cát xê 2b,"Huy hiệu Sáng tạo cao cấp x9, Huy hiệu Tài Năng cao cấp x9","[[100,41,9,0],[100,37,9,0]]","[[100,41,9,0],[100,37,10,0]]","[[100,41,9,0],[100,37,9,0]]","[[100,41,9,0],[100,37,10,0]]"
40,6,15,5000000000,Tiêu hao cát xê 5b,"Huy hiệu Sáng tạo cao cấp x10, Huy hiệu Tài Năng cao cấp x10, Gói cuộn x1","[[100,41,10,0],[100,37,10,0],[100,66,1,0]]","[[100,41,10,0],[100,37,12,0],[100,66,1,0]]","[[100,41,10,0],[100,37,10,0],[100,66,1,0]]","[[100,41,10,0],[100,37,12,0],[100,66,1,0]]"
41,6,16,10000000000,Tiêu hao cát xê 10b,"Huy hiệu Sáng tạo cao cấp x11, Huy hiệu Tài Năng cao cấp x11, Gói cuộn x2","[[100,41,11,0],[100,37,11,0],[100,66,2,0]]","[[100,41,11,0],[100,37,12,0],[100,66,2,0]]","[[100,41,11,0],[100,37,11,0],[100,66,2,0]]","[[100,41,11,0],[100,37,12,0],[100,66,2,0]]"
42,6,17,20000000000,Tiêu hao cát xê 20b,"Huy hiệu Sáng tạo cao cấp x12, Huy hiệu Tài Năng cao cấp x12, Gói cuộn x2","[[100,41,12,0],[100,37,12,0],[100,66,2,0]]","[[100,41,12,0],[100,37,15,0],[100,66,2,0]]","[[100,41,12,0],[100,37,12,0],[100,66,2,0]]","[[100,41,12,0],[100,37,15,0],[100,66,2,0]]"
43,6,18,50000000000,Tiêu hao cát xê 50b,"Huy hiệu Sáng tạo cao cấp x15, Huy hiệu Tài Năng cao cấp x15, Gói cuộn x2","[[100,41,15,0],[100,37,15,0],[100,66,2,0]]","[[100,41,15,0],[100,37,20,0],[100,66,2,0]]","[[100,41,15,0],[100,37,15,0],[100,66,2,0]]","[[100,41,15,0],[100,37,20,0],[100,66,2,0]]"
44,7,1,100000,Tiêu hao view 100k,"Đĩa than x1, Black Chocolate - Quà tặng Fan x1","[[100,19,10,0],[100,28,10,0]]","[[100,19,10,0],[100,28,12,0]]","[[100,19,10,0],[100,28,10,0]]","[[100,19,10,0],[100,28,12,0]]"
45,7,2,200000,Tiêu hao view 200k,"Đĩa than x1, Black Chocolate - Quà tặng Fan x1","[[100,19,10,0],[100,28,10,0]]","[[100,19,10,0],[100,28,12,0]]","[[100,19,10,0],[100,28,10,0]]","[[100,19,10,0],[100,28,12,0]]"
46,7,3,500000,Tiêu hao view 500k,"Đĩa CD x1, Chocolate cầu vồng - Quà tặng Fan  x1","[[100,20,10,0],[100,29,10,0]]","[[100,20,10,0],[100,29,12,0]]","[[100,20,10,0],[100,29,10,0]]","[[100,20,10,0],[100,29,12,0]]"
47,7,4,1000000,Tiêu hao view 1m,"Đĩa CD x1, Chocolate cầu vồng - Quà tặng Fan  x1","[[100,20,10,0],[100,29,10,0]]","[[100,20,10,0],[100,29,12,0]]","[[100,20,10,0],[100,29,10,0]]","[[100,20,10,0],[100,29,12,0]]"
48,7,5,2000000,Tiêu hao view 2m,"Đĩa CD x2, Chocolate cầu vồng - Quà tặng Fan  x2","[[100,20,20,0],[100,29,20,0]]","[[100,20,20,0],[100,29,25,0]]","[[100,20,20,0],[100,29,20,0]]","[[100,20,20,0],[100,29,25,0]]"
49,7,6,5000000,Tiêu hao view 5m,"Đĩa CD x2, Chocolate cầu vồng - Quà tặng Fan  x2","[[100,20,20,0],[100,29,20,0]]","[[100,20,20,0],[100,29,25,0]]","[[100,20,20,0],[100,29,20,0]]","[[100,20,20,0],[100,29,25,0]]"
50,7,7,10000000,Tiêu hao view 10m,"Đĩa Bạc CD x1, Lighstick trái tim - Quà tặng Fan  x1","[[100,21,10,0],[100,30,10,0]]","[[100,21,10,0],[100,30,15,0]]","[[100,21,10,0],[100,30,10,0]]","[[100,21,10,0],[100,30,15,0]]"
51,7,8,20000000,Tiêu hao view 20m,"Đĩa Bạc CD x1, Lighstick trái tim - Quà tặng Fan  x1","[[100,21,10,0],[100,30,10,0]]","[[100,21,10,0],[100,30,15,0]]","[[100,21,10,0],[100,30,10,0]]","[[100,21,10,0],[100,30,15,0]]"
52,7,9,50000000,Tiêu hao view 50m,"Đĩa Bạc CD x2, Lighstick trái tim - Quà tặng Fan  x2","[[100,21,20,0],[100,30,20,0]]","[[100,21,20,0],[100,30,25,0]]","[[100,21,20,0],[100,30,20,0]]","[[100,21,20,0],[100,30,25,0]]"
53,7,10,100000000,Tiêu hao view 100m,"Đĩa DVD x1, Nhẫn Didire dubot x1","[[100,23,10,0],[100,32,10,0]]","[[100,23,10,0],[100,32,15,0]]","[[100,23,10,0],[100,32,10,0]]","[[100,23,10,0],[100,32,15,0]]"
54,7,11,200000000,Tiêu hao view 200m,"Đĩa DVD x1, Nhẫn Didire dubot x1","[[100,23,10,0],[100,32,10,0]]","[[100,23,10,0],[100,32,15,0]]","[[100,23,10,0],[100,32,10,0]]","[[100,23,10,0],[100,32,15,0]]"
55,7,12,500000000,Tiêu hao view 500m,"Đĩa bạc DVD x1, Vòng tai Didire dubot x1","[[100,24,10,0],[100,33,10,0]]","[[100,24,10,0],[100,33,15,0]]","[[100,24,10,0],[100,33,10,0]]","[[100,24,10,0],[100,33,15,0]]"
56,7,13,1000000000,Tiêu hao view 1b,"Đĩa bạc DVD x2, Vòng tai Didire dubot x2","[[100,24,20,0],[100,33,20,0]]","[[100,24,20,0],[100,33,25,0]]","[[100,24,20,0],[100,33,20,0]]","[[100,24,20,0],[100,33,25,0]]"
57,7,14,2000000000,Tiêu hao view 2b,"Đĩa Vàng DVD x1, Vòng cổ Didire dubot x1","[[100,25,10,0],[100,34,10,0]]","[[100,25,10,0],[100,34,15,0]]","[[100,25,10,0],[100,34,10,0]]","[[100,25,10,0],[100,34,15,0]]"
58,7,15,5000000000,Tiêu hao view 5b,"Đĩa Vàng DVD x1, Vòng cổ Didire dubot x1","[[100,25,10,0],[100,34,10,0]]","[[100,25,10,0],[100,34,15,0]]","[[100,25,10,0],[100,34,10,0]]","[[100,25,10,0],[100,34,15,0]]"
59,7,16,10000000000,Tiêu hao view 10b,"Đĩa Vàng DVD x2, Vòng cổ Didire dubot x2","[[100,25,20,0],[100,34,20,0]]","[[100,25,20,0],[100,34,25,0]]","[[100,25,20,0],[100,34,20,0]]","[[100,25,20,0],[100,34,25,0]]"
60,7,17,30000000000,Tiêu hao view 30b,"Đĩa Vàng DVD x2, Vòng cổ Didire dubot x2, Gói cuộn x1","[[100,25,20,0],[100,34,20,0],[100,66,1,0]]","[[100,25,20,0],[100,34,25,0],[100,66,1,0]]","[[100,25,20,0],[100,34,20,0],[100,66,1,0]]","[[100,25,20,0],[100,34,25,0],[100,66,1,0]]"
61,7,18,50000000000,Tiêu hao view 50b,"Đĩa Vàng DVD x3, Vòng cổ Didire dubot x3, Gói cuộn x1","[[100,25,30,0],[100,34,30,0],[100,66,1,0]]","[[100,25,30,0],[100,34,40,0],[100,66,1,0]]","[[100,25,30,0],[100,34,30,0],[100,66,1,0]]","[[100,25,30,0],[100,34,40,0],[100,66,1,0]]"
62,8,1,100000,Tiêu hao fan 100k,"Huy hiệu Tài Năng trung cấp x1, Cổ động - Trang phục biểu diễn x1","[[100,36,1,0],[100,26,1,0]]","[[100,36,1,0],[100,26,2,0]]","[[100,36,1,0],[100,26,1,0]]","[[100,36,1,0],[100,26,2,0]]"
63,8,2,200000,Tiêu hao fan 200k,"Huy hiệu Tài Năng trung cấp x1, Cổ động - Trang phục biểu diễn x1","[[100,36,1,0],[100,26,1,0]]","[[100,36,1,0],[100,26,3,0]]","[[100,36,1,0],[100,26,1,0]]","[[100,36,1,0],[100,26,3,0]]"
64,8,3,500000,Tiêu hao fan 500k,"Huy hiệu Tài Năng trung cấp x1, Cổ động - Trang phục biểu diễn x2","[[100,36,1,0],[100,26,2,0]]","[[100,36,1,0],[100,26,3,0]]","[[100,36,1,0],[100,26,2,0]]","[[100,36,1,0],[100,26,3,0]]"
65,8,4,1000000,Tiêu hao fan 1m,"Huy hiệu Tài Năng trung cấp x1, Hawai - Trang phục biểu diễn x1","[[100,36,1,0],[100,27,1,0]]","[[100,36,1,0],[100,27,2,0]]","[[100,36,1,0],[100,27,1,0]]","[[100,36,1,0],[100,27,2,0]]"
66,8,5,2000000,Tiêu hao fan 2m,"Huy hiệu Tài Năng trung cấp x1, Hawai - Trang phục biểu diễn x1","[[100,36,1,0],[100,27,1,0]]","[[100,36,1,0],[100,27,2,0]]","[[100,36,1,0],[100,27,1,0]]","[[100,36,1,0],[100,27,2,0]]"
67,8,6,5000000,Tiêu hao fan 5m,"Huy hiệu Tài Năng trung cấp x2, Hawai - Trang phục biểu diễn x2","[[100,36,2,0],[100,27,2,0]]","[[100,36,2,0],[100,27,3,0]]","[[100,36,2,0],[100,27,2,0]]","[[100,36,2,0],[100,27,3,0]]"
68,8,7,10000000,Tiêu hao fan 10m,"Huy hiệu Tài Năng cao cấp x1, Hawai - Trang phục biểu diễn x2","[[100,37,1,0],[100,27,2,0]]","[[100,37,1,0],[100,27,3,0]]","[[100,37,1,0],[100,27,2,0]]","[[100,37,1,0],[100,27,3,0]]"
69,8,8,20000000,Tiêu hao fan 20m,"Huy hiệu Tài Năng cao cấp x2, Hawai - Trang phục biểu diễn x2","[[100,37,2,0],[100,27,2,0]]","[[100,37,2,0],[100,27,3,0]]","[[100,37,2,0],[100,27,2,0]]","[[100,37,2,0],[100,27,3,0]]"
70,8,9,50000000,Tiêu hao fan 50m,"Huy hiệu Tài Năng cao cấp x3, Hawai - Trang phục biểu diễn x5","[[100,37,3,0],[100,27,5,0]]","[[100,37,3,0],[100,27,6,0]]","[[100,37,3,0],[100,27,5,0]]","[[100,37,3,0],[100,27,6,0]]"
71,8,10,100000000,Tiêu hao fan 100m,"Huy hiệu Tài Năng cao cấp x3, Hawai - Trang phục biểu diễn x5","[[100,37,3,0],[100,27,5,0]]","[[100,37,3,0],[100,27,6,0]]","[[100,37,3,0],[100,27,5,0]]","[[100,37,3,0],[100,27,6,0]]"
72,8,11,200000000,Tiêu hao fan 200m,"Huy hiệu Tài Năng cao cấp x4, Hawai - Trang phục biểu diễn x6","[[100,37,4,0],[100,27,6,0]]","[[100,37,4,0],[100,27,8,0]]","[[100,37,4,0],[100,27,6,0]]","[[100,37,4,0],[100,27,8,0]]"
73,8,12,500000000,Tiêu hao fan 500m,"Huy hiệu Tài Năng cao cấp x5, Hawai - Trang phục biểu diễn x6","[[100,37,5,0],[100,27,6,0]]","[[100,37,5,0],[100,27,8,0]]","[[100,37,5,0],[100,27,6,0]]","[[100,37,5,0],[100,27,8,0]]"
74,8,13,1000000000,Tiêu hao fan 1b,"Huy hiệu Tài Năng cao cấp x5, Hawai - Trang phục biểu diễn x10","[[100,37,5,0],[100,27,10,0]]","[[100,37,5,0],[100,27,12,0]]","[[100,37,5,0],[100,27,10,0]]","[[100,37,5,0],[100,27,12,0]]"
75,8,14,2000000000,Tiêu hao fan 2b,"Huy hiệu Tài Năng cao cấp x6, Hawai - Trang phục biểu diễn x10","[[100,37,6,0],[100,27,10,0]]","[[100,37,6,0],[100,27,12,0]]","[[100,37,6,0],[100,27,10,0]]","[[100,37,6,0],[100,27,12,0]]"
76,8,15,5000000000,Tiêu hao fan 5b,"Huy hiệu Tài Năng cao cấp x6, Hawai - Trang phục biểu diễn x20","[[100,37,6,0],[100,27,10,0]]","[[100,37,6,0],[100,27,12,0]]","[[100,37,6,0],[100,27,10,0]]","[[100,37,6,0],[100,27,12,0]]"
77,8,16,10000000000,Tiêu hao fan 10b,"Huy hiệu Tài Năng cao cấp x10, Hawai - Trang phục biểu diễn x20","[[100,37,10,0],[100,27,20,0]]","[[100,37,10,0],[100,27,25,0]]","[[100,37,10,0],[100,27,20,0]]","[[100,37,10,0],[100,27,25,0]]"
78,8,17,30000000000,Tiêu hao fan 30b,"Huy hiệu Tài Năng cao cấp x10, Hawai - Trang phục biểu diễn x20, Gói cuộn x1","[[100,37,10,0],[100,27,20,0],[100,66,1,0]]","[[100,37,10,0],[100,27,25,0],[100,66,1,0]]","[[100,37,10,0],[100,27,20,0],[100,66,1,0]]","[[100,37,10,0],[100,27,25,0],[100,66,1,0]]"
79,8,18,50000000000,Tiêu hao fan 50b,"Huy hiệu Tài Năng cao cấp x10, Hawai - Trang phục biểu diễn x30, Gói cuộn x1","[[100,37,10,0],[100,27,30,0],[100,66,1,0]]","[[100,37,10,0],[100,27,40,0],[100,66,1,0]]","[[100,37,10,0],[100,27,30,0],[100,66,1,0]]","[[100,37,10,0],[100,27,40,0],[100,66,1,0]]"
80,9,1,10,Số lần sáng tác 10,"Huy hiệu Diễn Xuất trung cấp x1,Huy hiệu Cuốn Hút trung cấp x1,Cát xê,Fans","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]"
81,9,2,20,Số lần sáng tác 20,"Huy hiệu Diễn Xuất trung cấp x1,Huy hiệu Cuốn Hút trung cấp x1,Cát xê,Fans","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]"
82,9,3,40,Số lần sáng tác 40,"Huy hiệu Diễn Xuất trung cấp x1,Huy hiệu Cuốn Hút trung cấp x1,Cát xê,Fans","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]"
83,9,4,70,Số lần sáng tác 70,"Huy hiệu Diễn Xuất trung cấp x1,Huy hiệu Cuốn Hút trung cấp x1,Cát xê,Fans","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]"
84,9,5,100,Số lần sáng tác 100,"Huy hiệu Diễn Xuất trung cấp x1,Huy hiệu Cuốn Hút trung cấp x1,Cát xê,Fans","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]"
85,9,6,150,Số lần sáng tác 150,"Huy hiệu Diễn Xuất trung cấp x1,Huy hiệu Cuốn Hút trung cấp x1,Cát xê,Fans","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]"
86,9,7,200,Số lần sáng tác 200,"Huy hiệu Diễn Xuất trung cấp x1,Huy hiệu Cuốn Hút trung cấp x1,Cát xê,Fans","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,50000,0],[1,3,50000,0]]","[[100,44,1,0],[100,48,1,0],[1,1,100000,0],[1,3,100000,0]]"
87,9,8,250,Số lần sáng tác 250,"Huy hiệu Diễn Xuất trung cấp x2,Huy hiệu Cuốn Hút trung cấp x2,Cát xê,Fans","[[100,44,2,0],[100,48,2,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,2,0],[100,48,2,0],[1,1,200000,0],[1,3,200000,0]]","[[100,44,2,0],[100,48,2,0],[1,1,100000,0],[1,3,100000,0]]","[[100,44,2,0],[100,48,2,0],[1,1,200000,0],[1,3,200000,0]]"
88,9,9,300,Số lần sáng tác 300,"Huy hiệu Diễn Xuất trung cấp x3,Huy hiệu Cuốn Hút trung cấp x3,Cát xê,Fans","[[100,44,3,0],[100,48,3,0],[1,1,150000,0],[1,3,150000,0]]","[[100,44,3,0],[100,48,3,0],[1,1,250000,0],[1,3,250000,0]]","[[100,44,3,0],[100,48,3,0],[1,1,150000,0],[1,3,150000,0]]","[[100,44,3,0],[100,48,3,0],[1,1,250000,0],[1,3,250000,0]]"
89,9,10,350,Số lần sáng tác 350,"Huy hiệu Diễn Xuất trung cấp x4,Huy hiệu Cuốn Hút trung cấp x4,Cát xê,Fans","[[100,44,4,0],[100,48,4,0],[1,1,200000,0],[1,3,200000,0]]","[[100,44,4,0],[100,48,4,0],[1,1,300000,0],[1,3,300000,0]]","[[100,44,4,0],[100,48,4,0],[1,1,200000,0],[1,3,200000,0]]","[[100,44,4,0],[100,48,4,0],[1,1,300000,0],[1,3,300000,0]]"
90,9,11,400,Số lần sáng tác 400,"Huy hiệu Diễn Xuất trung cấp x5,Huy hiệu Cuốn Hút trung cấp x5,Cát xê,Fans","[[100,44,5,0],[100,48,5,0],[1,1,250000,0],[1,3,250000,0]]","[[100,44,5,0],[100,48,5,0],[1,1,350000,0],[1,3,350000,0]]","[[100,44,5,0],[100,48,5,0],[1,1,250000,0],[1,3,250000,0]]","[[100,44,5,0],[100,48,5,0],[1,1,350000,0],[1,3,350000,0]]"
