id,specialityID,level_200,level_300,level_350,level_400,level_500
7,3,700,1050,1400,2100,3500
8,3,300,450,600,900,1500
9,3,500,750,1000,1500,2500
10,3,300,450,600,900,1500
11,3,800,1200,1600,2400,4000
12,3,300,450,600,900,1500
13,3,500,750,1000,1500,2500
14,3,300,450,600,900,1500
15,3,900,1350,1800,2700,4500
16,3,300,450,600,900,1500
17,3,600,900,1200,1800,3000
18,3,400,600,800,1200,2000
19,3,800,1200,1600,2400,4000
20,3,400,600,800,1200,2000
21,3,600,900,1200,1800,3000
22,3,400,600,800,1200,2000
23,3,1000,1500,2000,3000,5000
24,3,400,600,800,1200,2000
25,3,700,1050,1400,2100,3500
26,3,500,750,1000,1500,2500
27,3,1200,1800,2400,3600,6000
28,3,400,600,800,1200,2000
29,3,900,1350,1800,2700,4500
30,3,900,1350,1800,2700,4500
31,3,1700,2550,3400,5100,8500
32,3,500,750,1000,1500,2500
33,3,500,750,1000,1500,2500
34,3,1200,1800,2400,3600,6000
35,3,2800,4200,5600,8400,14000
36,3,800,1200,1600,2400,4000
37,3,1000,1500,2000,3000,5000
38,3,2500,3750,5000,7500,12500
39,3,6800,10200,13600,20400,34000
40,3,1500,2250,3000,4500,7500
41,3,9400,14100,18800,28200,47000
42,3,5000,7500,10000,15000,25000
43,3,1500,2250,3000,4500,7500
44,3,1500,2250,3000,4500,7500
45,3,1500,2250,3000,4500,7500
46,3,1500,2250,3000,4500,7500
47,3,1500,2250,3000,4500,7500
48,3,700,1050,1400,2100,3500
49,3,600,900,1200,1800,3000
50,3,600,900,1200,1800,3000
51,3,600,900,1200,1800,3000
52,3,600,900,1200,1800,3000
53,3,800,1200,1600,2400,4000
54,3,900,1350,1800,2250,2700
55,3,600,900,1200,1500,1800
56,3,400,600,800,1000,1200
57,3,700,1050,1400,1750,2100
58,3,300,450,600,750,900
59,3,500,750,1000,1250,1500
60,3,500,750,1000,1250,1500
61,3,200,300,400,500,600
62,3,600,900,1200,1500,1800
63,3,100,150,200,250,300
64,3,400,600,800,1000,1200
1,4,300,450,600,900,1500
2,4,200,300,400,600,1000
3,4,200,300,400,600,1000
4,4,600,900,1200,1800,3000
5,4,400,600,800,1200,2000
6,4,200,300,400,600,1000
7,4,200,300,400,600,1000
8,4,700,1050,1400,2100,3500
9,4,400,600,800,1200,2000
10,4,300,450,600,900,1500
11,4,300,450,600,900,1500
12,4,800,1200,1600,2400,4000
13,4,500,750,1000,1500,2500
14,4,300,450,600,900,1500
15,4,300,450,600,900,1500
16,4,900,1350,1800,2700,4500
17,4,500,750,1000,1500,2500
18,4,400,600,800,1200,2000
19,4,400,600,800,1200,2000
20,4,800,1200,1600,2400,4000
21,4,600,900,1200,1800,3000
22,4,400,600,800,1200,2000
23,4,400,600,800,1200,2000
24,4,1000,1500,2000,3000,5000
25,4,700,1050,1400,2100,3500
26,4,400,600,800,1200,2000
27,4,500,750,1000,1500,2500
28,4,1200,1800,2400,3600,6000
29,4,800,1200,1600,2400,4000
30,4,900,1350,1800,2700,4500
31,4,500,750,1000,1500,2500
32,4,500,750,1000,1500,2500
33,4,1700,2550,3400,5100,8500
34,4,1200,1800,2400,3600,6000
35,4,700,1050,1400,2100,3500
36,4,800,1200,1600,2400,4000
37,4,3800,5700,7600,11400,19000
38,4,2500,3750,5000,7500,12500
39,4,1200,1800,2400,3600,6000
40,4,1500,2250,3000,4500,7500
41,4,1800,2700,3600,5400,9000
42,4,5000,7500,10000,15000,25000
43,4,500,750,1000,1500,2500
44,4,100,150,200,300,500
45,4,400,600,800,1200,2000
46,4,200,300,400,600,1000
47,4,200,300,400,600,1000
48,4,600,900,1200,1800,3000
49,4,600,900,1200,1800,3000
50,4,700,1050,1400,2100,3500
51,4,600,900,1200,1800,3000
52,4,600,900,1200,1800,3000
53,4,800,1200,1600,2400,4000
54,4,900,1350,1800,2250,2700
55,4,400,600,800,1000,1200
56,4,600,900,1200,1500,1800
57,4,300,450,600,750,900
58,4,700,1050,1400,1750,2100
59,4,500,750,1000,1250,1500
60,4,1500,2250,3000,3750,4500
61,4,1500,2250,3000,3750,4500
62,4,1500,2250,3000,3750,4500
63,4,1500,2250,3000,3750,4500
64,4,1500,2250,3000,3750,4500
