id,chapter,level,smallLevel,aptNPC,fanNPC,reward
71,2,4,6,898,4240,"[102,18,0,0]"
72,2,4,7,924,4320,"[102,18,0,0]"
73,2,4,8,950,4400,"[102,19,0,0]"
74,2,5,1,1010,5000,"[102,18,0,0]"
75,2,5,2,1030,5050,"[102,18,0,0]"
76,2,5,3,1050,5100,"[102,18,0,0]"
77,2,5,4,1070,5150,"[102,18,0,0]"
78,2,5,5,1092,5200,"[102,18,0,0]"
79,2,5,6,1122,5300,"[102,18,0,0]"
80,2,5,7,1154,5400,"[102,18,0,0]"
81,2,5,8,1188,5500,"[102,19,0,0]"
82,2,6,1,0,0,[]
83,3,1,1,1212,6000,"[102,18,0,0]"
84,3,1,2,1236,6060,"[102,18,0,0]"
85,3,1,3,1260,6120,"[102,18,0,0]"
86,3,1,4,1284,6180,"[102,18,0,0]"
87,3,1,5,1310,6240,"[102,18,0,0]"
88,3,1,6,1348,6360,"[102,18,0,0]"
89,3,1,7,1386,6480,"[102,18,0,0]"
90,3,1,8,1424,6600,"[102,19,0,0]"
91,3,2,1,1414,7000,"[102,18,0,0]"
92,3,2,2,1442,7070,"[102,18,0,0]"
93,3,2,3,1470,7140,"[102,18,0,0]"
94,3,2,4,1498,7210,"[102,18,0,0]"
95,3,2,5,1528,7280,"[102,18,0,0]"
96,3,2,6,1572,7420,"[102,18,0,0]"
97,3,2,7,1616,7560,"[102,18,0,0]"
98,3,2,8,1662,7700,"[102,19,0,0]"
99,3,3,1,1616,8000,"[102,18,0,0]"
100,3,3,2,1648,8080,"[102,18,0,0]"
101,3,3,3,1680,8160,"[102,18,0,0]"
102,3,3,4,1712,8240,"[102,18,0,0]"
103,3,3,5,1746,8320,"[102,18,0,0]"
104,3,3,6,1796,8480,"[102,18,0,0]"
105,3,3,7,1848,8640,"[102,18,0,0]"
106,3,3,8,1900,8800,"[102,19,0,0]"
107,3,4,1,1818,9000,"[102,18,0,0]"
108,3,4,2,1854,9090,"[102,18,0,0]"
109,3,4,3,1890,9180,"[102,18,0,0]"
110,3,4,4,1928,9270,"[102,18,0,0]"
111,3,4,5,1964,9360,"[102,18,0,0]"
112,3,4,6,2022,9540,"[102,18,0,0]"
113,3,4,7,2080,9720,"[102,18,0,0]"
114,3,4,8,2138,9900,"[102,19,0,0]"
115,3,5,1,2020,10000,"[102,18,0,0]"
116,3,5,2,2060,10100,"[102,18,0,0]"
117,3,5,3,2100,10200,"[102,18,0,0]"
118,3,5,4,2142,10300,"[102,18,0,0]"
119,3,5,5,2184,10400,"[102,18,0,0]"
120,3,5,6,2246,10600,"[102,18,0,0]"
121,3,5,7,2310,10800,"[102,18,0,0]"
122,3,5,8,2376,11000,"[102,19,0,0]"
123,3,6,1,0,0,[]
124,4,1,1,2424,12000,"[102,18,0,0]"
125,4,1,2,2472,12120,"[102,18,0,0]"
126,4,1,3,2520,12240,"[102,18,0,0]"
127,4,1,4,2570,12360,"[102,18,0,0]"
128,4,1,5,2620,12480,"[102,18,0,0]"
129,4,1,6,2696,12720,"[102,18,0,0]"
130,4,1,7,2772,12960,"[102,18,0,0]"
131,4,1,8,2850,13200,"[102,19,0,0]"
132,4,2,1,2828,14000,"[102,18,0,0]"
133,4,2,2,2884,14140,"[102,18,0,0]"
134,4,2,3,2940,14280,"[102,18,0,0]"
135,4,2,4,2998,14420,"[102,18,0,0]"
136,4,2,5,3056,14560,"[102,18,0,0]"
137,4,2,6,3146,14840,"[102,18,0,0]"
138,4,2,7,3234,15120,"[102,18,0,0]"
139,4,2,8,3326,15400,"[102,19,0,0]"
140,4,3,1,3232,16000,"[102,18,0,0]"
141,4,3,2,3296,16160,"[102,18,0,0]"
142,4,3,3,3360,16320,"[102,18,0,0]"
143,4,3,4,3426,16480,"[102,18,0,0]"
144,4,3,5,3494,16640,"[102,18,0,0]"
145,4,3,6,3594,16960,"[102,18,0,0]"
146,4,3,7,3696,17280,"[102,18,0,0]"
147,4,3,8,3800,17600,"[102,19,0,0]"
148,4,4,1,3636,18000,"[102,18,0,0]"
149,4,4,2,3708,18180,"[102,18,0,0]"
150,4,4,3,3782,18360,"[102,18,0,0]"
151,4,4,4,3856,18540,"[102,18,0,0]"
152,4,4,5,3930,18720,"[102,18,0,0]"
153,4,4,6,4044,19080,"[102,18,0,0]"
154,4,4,7,4160,19440,"[102,18,0,0]"
155,4,4,8,4276,19800,"[102,19,0,0]"
156,4,5,1,4040,20000,"[102,18,0,0]"
157,4,5,2,4120,20200,"[102,18,0,0]"
158,4,5,3,4202,20400,"[102,18,0,0]"
159,4,5,4,4284,20600,"[102,18,0,0]"
160,4,5,5,4368,20800,"[102,18,0,0]"
161,4,5,6,4494,21200,"[102,18,0,0]"
162,4,5,7,4622,21600,"[102,18,0,0]"
163,4,5,8,4752,22000,"[102,19,0,0]"
164,4,6,1,0,0,[]
165,5,1,1,4646,23000,"[102,18,0,0]"
166,5,1,2,4738,23230,"[102,18,0,0]"
167,5,1,3,4832,23460,"[102,18,0,0]"
168,5,1,4,4926,23690,"[102,18,0,0]"
169,5,1,5,5022,23920,"[102,18,0,0]"
170,5,1,6,5168,24380,"[102,18,0,0]"
171,5,1,7,5314,24840,"[102,18,0,0]"
172,5,1,8,5464,25300,"[102,19,0,0]"
173,5,2,1,5252,26000,"[102,18,0,0]"
174,5,2,2,5356,26260,"[102,18,0,0]"
175,5,2,3,5462,26520,"[102,18,0,0]"
176,5,2,4,5570,26780,"[102,18,0,0]"
177,5,2,5,5678,27040,"[102,18,0,0]"
178,5,2,6,5842,27560,"[102,18,0,0]"
179,5,2,7,6008,28080,"[102,18,0,0]"
180,5,2,8,6176,28600,"[102,19,0,0]"
181,5,3,1,5858,29000,"[102,18,0,0]"
182,5,3,2,5974,29290,"[102,18,0,0]"
183,5,3,3,6092,29580,"[102,18,0,0]"
184,5,3,4,6212,29870,"[102,18,0,0]"
185,5,3,5,6332,30160,"[102,18,0,0]"
186,5,3,6,6516,30740,"[102,18,0,0]"
187,5,3,7,6702,31320,"[102,18,0,0]"
188,5,3,8,6890,31900,"[102,19,0,0]"
189,5,4,1,6464,32000,"[102,18,0,0]"
190,5,4,2,6592,32320,"[102,18,0,0]"
191,5,4,3,6722,32640,"[102,18,0,0]"
192,5,4,4,6854,32960,"[102,18,0,0]"
193,5,4,5,6988,33280,"[102,18,0,0]"
194,5,4,6,7190,33920,"[102,18,0,0]"
195,5,4,7,7394,34560,"[102,18,0,0]"
196,5,4,8,7602,35200,"[102,19,0,0]"
197,5,5,1,7070,35000,"[102,18,0,0]"
198,5,5,2,7210,35350,"[102,18,0,0]"
199,5,5,3,7354,35700,"[102,18,0,0]"
200,5,5,4,7498,36050,"[102,18,0,0]"
201,5,5,5,7644,36400,"[102,18,0,0]"
202,5,5,6,7864,37100,"[102,18,0,0]"
203,5,5,7,8088,37800,"[102,18,0,0]"
204,5,5,8,8316,38500,"[102,19,0,0]"
205,5,6,1,0,0,[]
206,6,1,1,7676,38000,"[102,18,0,0]"
207,6,1,2,7828,38380,"[102,18,0,0]"
208,6,1,3,7984,38760,"[102,18,0,0]"
209,6,1,4,8140,39140,"[102,18,0,0]"
210,6,1,5,8298,39520,"[102,18,0,0]"
211,6,1,6,8538,40280,"[102,18,0,0]"
212,6,1,7,8782,41040,"[102,18,0,0]"
213,6,1,8,9028,41800,"[102,19,0,0]"
214,6,2,1,8282,41000,"[102,18,0,0]"
215,6,2,2,8446,41410,"[102,18,0,0]"
216,6,2,3,8614,41820,"[102,18,0,0]"
217,6,2,4,8782,42230,"[102,18,0,0]"
218,6,2,5,8954,42640,"[102,18,0,0]"
219,6,2,6,9212,43460,"[102,18,0,0]"
220,6,2,7,9474,44280,"[102,18,0,0]"
221,6,2,8,9740,45100,"[102,19,0,0]"
222,6,3,1,8888,44000,"[102,18,0,0]"
223,6,3,2,9064,44440,"[102,18,0,0]"
224,6,3,3,9244,44880,"[102,18,0,0]"
225,6,3,4,9426,45320,"[102,18,0,0]"
226,6,3,5,9608,45760,"[102,18,0,0]"
227,6,3,6,9886,46640,"[102,18,0,0]"
228,6,3,7,10168,47520,"[102,18,0,0]"
229,6,3,8,10454,48400,"[102,19,0,0]"
230,6,4,1,9494,47000,"[102,18,0,0]"
231,6,4,2,9682,47470,"[102,18,0,0]"
232,6,4,3,9874,47940,"[102,18,0,0]"
233,6,4,4,10068,48410,"[102,18,0,0]"
234,6,4,5,10264,48880,"[102,18,0,0]"
235,6,4,6,10560,49820,"[102,18,0,0]"
236,6,4,7,10862,50760,"[102,18,0,0]"
237,6,4,8,11166,51700,"[102,19,0,0]"
238,6,5,1,10100,50000,"[102,18,0,0]"
239,6,5,2,10302,50500,"[102,18,0,0]"
240,6,5,3,10506,51000,"[102,18,0,0]"
241,6,5,4,10712,51500,"[102,18,0,0]"
242,6,5,5,10920,52000,"[102,18,0,0]"
243,6,5,6,11236,53000,"[102,18,0,0]"
244,6,5,7,11556,54000,"[102,18,0,0]"
245,6,5,8,11880,55000,"[102,19,0,0]"
246,6,6,1,0,0,[]
247,7,1,1,10504,52000,"[102,18,0,0]"
248,7,1,2,10714,52520,"[102,18,0,0]"
249,7,1,3,10926,53040,"[102,18,0,0]"
250,7,1,4,11140,53560,"[102,18,0,0]"
251,7,1,5,11356,54080,"[102,18,0,0]"
252,7,1,6,11684,55120,"[102,18,0,0]"
253,7,1,7,12018,56160,"[102,18,0,0]"
254,7,1,8,12354,57200,"[102,19,0,0]"
255,7,2,1,10908,54000,"[102,18,0,0]"
256,7,2,2,11126,54540,"[102,18,0,0]"
257,7,2,3,11346,55080,"[102,18,0,0]"
258,7,2,4,11568,55620,"[102,18,0,0]"
259,7,2,5,11792,56160,"[102,18,0,0]"
260,7,2,6,12134,57240,"[102,18,0,0]"
261,7,2,7,12480,58320,"[102,18,0,0]"
262,7,2,8,12830,59400,"[102,19,0,0]"
263,7,3,1,11312,56000,"[102,18,0,0]"
264,7,3,2,11538,56560,"[102,18,0,0]"
265,7,3,3,11766,57120,"[102,18,0,0]"
266,7,3,4,11996,57680,"[102,18,0,0]"
267,7,3,5,12230,58240,"[102,18,0,0]"
268,7,3,6,12584,59360,"[102,18,0,0]"
269,7,3,7,12942,60480,"[102,18,0,0]"
270,7,3,8,13304,61600,"[102,19,0,0]"
271,7,4,1,11716,58000,"[102,18,0,0]"
272,7,4,2,11950,58580,"[102,18,0,0]"
273,7,4,3,12186,59160,"[102,18,0,0]"
274,7,4,4,12424,59740,"[102,18,0,0]"
275,7,4,5,12666,60320,"[102,18,0,0]"
276,7,4,6,13032,61480,"[102,18,0,0]"
277,7,4,7,13404,62640,"[102,18,0,0]"
278,7,4,8,13780,63800,"[102,19,0,0]"
279,7,5,1,12120,60000,"[102,18,0,0]"
280,7,5,2,12362,60600,"[102,18,0,0]"
281,7,5,3,12606,61200,"[102,18,0,0]"
282,7,5,4,12854,61800,"[102,18,0,0]"
283,7,5,5,13104,62400,"[102,18,0,0]"
284,7,5,6,13482,63600,"[102,18,0,0]"
285,7,5,7,13866,64800,"[102,18,0,0]"
286,7,5,8,14256,66000,"[102,19,0,0]"
287,7,6,1,0,0,[]
288,8,1,1,12322,61000,"[102,18,0,0]"
289,8,1,2,12568,61610,"[102,18,0,0]"
290,8,1,3,12816,62220,"[102,18,0,0]"
291,8,1,4,13068,62830,"[102,18,0,0]"
292,8,1,5,13322,63440,"[102,18,0,0]"
293,8,1,6,13706,64660,"[102,18,0,0]"
294,8,1,7,14098,65880,"[102,18,0,0]"
295,8,1,8,14492,67100,"[102,19,0,0]"
296,8,2,1,12524,62000,"[102,18,0,0]"
297,8,2,2,12774,62620,"[102,18,0,0]"
298,8,2,3,13026,63240,"[102,18,0,0]"
299,8,2,4,13282,63860,"[102,18,0,0]"
300,8,2,5,13540,64480,"[102,18,0,0]"
301,8,2,6,13932,65720,"[102,18,0,0]"
302,8,2,7,14328,66960,"[102,18,0,0]"
303,8,2,8,14730,68200,"[102,19,0,0]"
304,8,3,1,12726,63000,"[102,18,0,0]"
305,8,3,2,12980,63630,"[102,18,0,0]"
306,8,3,3,13236,64260,"[102,18,0,0]"
307,8,3,4,13496,64890,"[102,18,0,0]"
308,8,3,5,13758,65520,"[102,18,0,0]"
309,8,3,6,14156,66780,"[102,18,0,0]"
310,8,3,7,14560,68040,"[102,18,0,0]"
311,8,3,8,14968,69300,"[102,19,0,0]"
312,8,4,1,12928,64000,"[102,18,0,0]"
313,8,4,2,13186,64640,"[102,18,0,0]"
314,8,4,3,13446,65280,"[102,18,0,0]"
315,8,4,4,13710,65920,"[102,18,0,0]"
316,8,4,5,13976,66560,"[102,18,0,0]"
317,8,4,6,14382,67840,"[102,18,0,0]"
318,8,4,7,14790,69120,"[102,18,0,0]"
319,8,4,8,15206,70400,"[102,19,0,0]"
320,8,5,1,13130,65000,"[102,18,0,0]"
321,8,5,2,13392,65650,"[102,18,0,0]"
322,8,5,3,13656,66300,"[102,18,0,0]"
323,8,5,4,13924,66950,"[102,18,0,0]"
324,8,5,5,14196,67600,"[102,18,0,0]"
325,8,5,6,14606,68900,"[102,18,0,0]"
326,8,5,7,15022,70200,"[102,18,0,0]"
327,8,5,8,15444,71500,"[102,19,0,0]"
328,8,6,1,0,0,[]
329,9,1,1,13332,66000,"[102,18,0,0]"
330,9,1,2,13598,66660,"[102,18,0,0]"
331,9,1,3,13866,67320,"[102,18,0,0]"
332,9,1,4,14138,67980,"[102,18,0,0]"
333,9,1,5,14414,68640,"[102,18,0,0]"
334,9,1,6,14830,69960,"[102,18,0,0]"
335,9,1,7,15252,71280,"[102,18,0,0]"
336,9,1,8,15680,72600,"[102,19,0,0]"
337,9,2,1,13534,67000,"[102,18,0,0]"
338,9,2,2,13804,67670,"[102,18,0,0]"
339,9,2,3,14078,68340,"[102,18,0,0]"
340,9,2,4,14354,69010,"[102,18,0,0]"
341,9,2,5,14632,69680,"[102,18,0,0]"
342,9,2,6,15056,71020,"[102,18,0,0]"
343,9,2,7,15484,72360,"[102,18,0,0]"
344,9,2,8,15918,73700,"[102,19,0,0]"
345,9,3,1,14140,70000,"[102,18,0,0]"
346,9,3,2,14422,70700,"[102,18,0,0]"
347,9,3,3,14708,71400,"[102,18,0,0]"
348,9,3,4,14996,72100,"[102,18,0,0]"
349,9,3,5,15288,72800,"[102,18,0,0]"
350,9,3,6,15730,74200,"[102,18,0,0]"
351,9,3,7,16178,75600,"[102,18,0,0]"
352,9,3,8,16632,77000,"[102,19,0,0]"
353,9,4,1,14948,74000,"[102,18,0,0]"
354,9,4,2,15246,74740,"[102,18,0,0]"
355,9,4,3,15548,75480,"[102,18,0,0]"
356,9,4,4,15852,76220,"[102,18,0,0]"
357,9,4,5,16160,76960,"[102,18,0,0]"
358,9,4,6,16628,78440,"[102,18,0,0]"
359,9,4,7,17102,79920,"[102,18,0,0]"
360,9,4,8,17582,81400,"[102,19,0,0]"
361,9,5,1,15756,78000,"[102,18,0,0]"
362,9,5,2,16070,78780,"[102,18,0,0]"
363,9,5,3,16388,79560,"[102,18,0,0]"
364,9,5,4,16710,80340,"[102,18,0,0]"
365,9,5,5,17034,81120,"[102,18,0,0]"
366,9,5,6,17528,82680,"[102,18,0,0]"
367,9,5,7,18026,84240,"[102,18,0,0]"
368,9,5,8,18532,85800,"[102,19,0,0]"
369,9,6,1,0,0,[]
370,10,1,1,16564,82000,"[102,18,0,0]"
371,10,1,2,16894,82820,"[102,18,0,0]"
372,10,1,3,17228,83640,"[102,18,0,0]"
373,10,1,4,17566,84460,"[102,18,0,0]"
374,10,1,5,17908,85280,"[102,18,0,0]"
375,10,1,6,18426,86920,"[102,18,0,0]"
376,10,1,7,18950,88560,"[102,18,0,0]"
377,10,1,8,19482,90200,"[102,19,0,0]"
378,10,2,1,17372,86000,"[102,18,0,0]"
379,10,2,2,17718,86860,"[102,18,0,0]"
380,10,2,3,18070,87720,"[102,18,0,0]"
381,10,2,4,18424,88580,"[102,18,0,0]"
382,10,2,5,18782,89440,"[102,18,0,0]"
383,10,2,6,19324,91160,"[102,18,0,0]"
384,10,2,7,19876,92880,"[102,18,0,0]"
385,10,2,8,20432,94600,"[102,19,0,0]"
386,10,3,1,18180,90000,"[102,18,0,0]"
387,10,3,2,18542,90900,"[102,18,0,0]"
388,10,3,3,18910,91800,"[102,18,0,0]"
389,10,3,4,19280,92700,"[102,18,0,0]"
390,10,3,5,19656,93600,"[102,18,0,0]"
391,10,3,6,20224,95400,"[102,18,0,0]"
392,10,3,7,20800,97200,"[102,18,0,0]"
393,10,3,8,21384,99000,"[102,19,0,0]"
394,10,4,1,19190,95000,"[102,18,0,0]"
395,10,4,2,19572,95950,"[102,18,0,0]"
396,10,4,3,19960,96900,"[102,18,0,0]"
397,10,4,4,20352,97850,"[102,18,0,0]"
398,10,4,5,20748,98800,"[102,18,0,0]"
399,10,4,6,21348,100700,"[102,18,0,0]"
400,10,4,7,21956,102600,"[102,18,0,0]"
401,10,4,8,22572,104500,"[102,19,0,0]"
402,10,5,1,20200,100000,"[102,18,0,0]"
403,10,5,2,20604,101000,"[102,18,0,0]"
404,10,5,3,21012,102000,"[102,18,0,0]"
405,10,5,4,21424,103000,"[102,18,0,0]"
406,10,5,5,21840,104000,"[102,18,0,0]"
407,10,5,6,22472,106000,"[102,18,0,0]"
408,10,5,7,23112,108000,"[102,18,0,0]"
409,10,5,8,23760,110000,"[102,19,0,0]"
410,10,6,1,0,0,[]
411,11,1,1,21210,105000,"[102,18,0,0]"
412,11,1,2,21634,106050,"[102,18,0,0]"
413,11,1,3,22062,107100,"[102,18,0,0]"
414,11,1,4,22494,108150,"[102,18,0,0]"
415,11,1,5,22932,109200,"[102,18,0,0]"
416,11,1,6,23594,111300,"[102,18,0,0]"
417,11,1,7,24266,113400,"[102,18,0,0]"
418,11,1,8,24948,115500,"[102,19,0,0]"
419,11,2,1,22220,110000,"[102,18,0,0]"
420,11,2,2,22664,111100,"[102,18,0,0]"
421,11,2,3,23112,112200,"[102,18,0,0]"
422,11,2,4,23566,113300,"[102,18,0,0]"
423,11,2,5,24024,114400,"[102,18,0,0]"
424,11,2,6,24718,116600,"[102,18,0,0]"
425,11,2,7,25422,118800,"[102,18,0,0]"
426,11,2,8,26136,121000,"[102,19,0,0]"
427,11,3,1,23230,115000,"[102,18,0,0]"
428,11,3,2,23694,116150,"[102,18,0,0]"
429,11,3,3,24162,117300,"[102,18,0,0]"
430,11,3,4,24636,118450,"[102,18,0,0]"
431,11,3,5,25116,119600,"[102,18,0,0]"
432,11,3,6,25842,121900,"[102,18,0,0]"
433,11,3,7,26578,124200,"[102,18,0,0]"
434,11,3,8,27324,126500,"[102,19,0,0]"
435,11,4,1,24240,120000,"[102,18,0,0]"
436,11,4,2,24724,121200,"[102,18,0,0]"
437,11,4,3,25214,122400,"[102,18,0,0]"
438,11,4,4,25708,123600,"[102,18,0,0]"
439,11,4,5,26208,124800,"[102,18,0,0]"
440,11,4,6,26966,127200,"[102,18,0,0]"
441,11,4,7,27734,129600,"[102,18,0,0]"
442,11,4,8,28512,132000,"[102,19,0,0]"
443,11,5,1,25250,125000,"[102,18,0,0]"
444,11,5,2,25754,126250,"[102,18,0,0]"
445,11,5,3,26264,127500,"[102,18,0,0]"
446,11,5,4,26780,128750,"[102,18,0,0]"
447,11,5,5,27300,130000,"[102,18,0,0]"
448,11,5,6,28090,132500,"[102,18,0,0]"
449,11,5,7,28890,135000,"[102,18,0,0]"
450,11,5,8,29700,137500,"[102,19,0,0]"
451,11,6,1,0,0,[]
452,12,1,1,26260,130000,"[102,18,0,0]"
453,12,1,2,26784,131300,"[102,18,0,0]"
454,12,1,3,27314,132600,"[102,18,0,0]"
455,12,1,4,27850,133900,"[102,18,0,0]"
456,12,1,5,28392,135200,"[102,18,0,0]"
457,12,1,6,29212,137800,"[102,18,0,0]"
458,12,1,7,30044,140400,"[102,18,0,0]"
459,12,1,8,30888,143000,"[102,19,0,0]"
460,12,2,1,27270,135000,"[102,18,0,0]"
461,12,2,2,27814,136350,"[102,18,0,0]"
462,12,2,3,28366,137700,"[102,18,0,0]"
463,12,2,4,28922,139050,"[102,18,0,0]"
464,12,2,5,29484,140400,"[102,18,0,0]"
465,12,2,6,30336,143100,"[102,18,0,0]"
466,12,2,7,31200,145800,"[102,18,0,0]"
467,12,2,8,32076,148500,"[102,19,0,0]"
468,12,3,1,28280,140000,"[102,18,0,0]"
469,12,3,2,28844,141400,"[102,18,0,0]"
470,12,3,3,29416,142800,"[102,18,0,0]"
471,12,3,4,29992,144200,"[102,18,0,0]"
472,12,3,5,30576,145600,"[102,18,0,0]"
473,12,3,6,31460,148400,"[102,18,0,0]"
474,12,3,7,32356,151200,"[102,18,0,0]"
475,12,3,8,33264,154000,"[102,19,0,0]"
476,12,4,1,28684,142000,"[102,18,0,0]"
477,12,4,2,29256,143420,"[102,18,0,0]"
478,12,4,3,29836,144840,"[102,18,0,0]"
479,12,4,4,30422,146260,"[102,18,0,0]"
480,12,4,5,31012,147680,"[102,18,0,0]"
481,12,4,6,31910,150520,"[102,18,0,0]"
482,12,4,7,32818,153360,"[102,18,0,0]"
483,12,4,8,33738,156200,"[102,19,0,0]"
484,12,5,1,29088,144000,"[102,18,0,0]"
485,12,5,2,29668,145440,"[102,18,0,0]"
486,12,5,3,30256,146880,"[102,18,0,0]"
487,12,5,4,30850,148320,"[102,18,0,0]"
488,12,5,5,31448,149760,"[102,18,0,0]"
489,12,5,6,32358,152640,"[102,18,0,0]"
490,12,5,7,33280,155520,"[102,18,0,0]"
491,12,5,8,34214,158400,"[102,19,0,0]"
492,12,6,1,0,0,[]
493,13,1,1,29492,146000,"[102,18,0,0]"
494,13,1,2,30080,147460,"[102,18,0,0]"
495,13,1,3,30676,148920,"[102,18,0,0]"
496,13,1,4,31278,150380,"[102,18,0,0]"
497,13,1,5,31886,151840,"[102,18,0,0]"
498,13,1,6,32808,154760,"[102,18,0,0]"
499,13,1,7,33742,157680,"[102,18,0,0]"
500,13,1,8,34688,160600,"[102,19,0,0]"
501,13,2,1,29896,148000,"[102,18,0,0]"
502,13,2,2,30492,149480,"[102,18,0,0]"
503,13,2,3,31096,150960,"[102,18,0,0]"
504,13,2,4,31706,152440,"[102,18,0,0]"
505,13,2,5,32322,153920,"[102,18,0,0]"
506,13,2,6,33258,156880,"[102,18,0,0]"
507,13,2,7,34204,159840,"[102,18,0,0]"
508,13,2,8,35164,162800,"[102,19,0,0]"
509,13,3,1,30300,150000,"[102,18,0,0]"
510,13,3,2,30906,151500,"[102,18,0,0]"
511,13,3,3,31518,153000,"[102,18,0,0]"
512,13,3,4,32136,154500,"[102,18,0,0]"
513,13,3,5,32760,156000,"[102,18,0,0]"
514,13,3,6,33708,159000,"[102,18,0,0]"
515,13,3,7,34668,162000,"[102,18,0,0]"
516,13,3,8,35640,165000,"[102,19,0,0]"
517,13,4,1,30704,152000,"[102,18,0,0]"
518,13,4,2,31318,153520,"[102,18,0,0]"
519,13,4,3,31938,155040,"[102,18,0,0]"
520,13,4,4,32564,156560,"[102,18,0,0]"
521,13,4,5,33196,158080,"[102,18,0,0]"
522,13,4,6,34156,161120,"[102,18,0,0]"
523,13,4,7,35130,164160,"[102,18,0,0]"
524,13,4,8,36114,167200,"[102,19,0,0]"
525,13,5,1,31108,154000,"[102,18,0,0]"
526,13,5,2,31730,155540,"[102,18,0,0]"
527,13,5,3,32358,157080,"[102,18,0,0]"
528,13,5,4,32992,158620,"[102,18,0,0]"
529,13,5,5,33632,160160,"[102,18,0,0]"
530,13,5,6,34606,163240,"[102,18,0,0]"
531,13,5,7,35592,166320,"[102,18,0,0]"
532,13,5,8,36590,169400,"[102,19,0,0]"
533,13,6,1,0,0,[]
534,14,1,1,31512,156000,"[102,18,0,0]"
535,14,1,2,32142,157560,"[102,18,0,0]"
536,14,1,3,32778,159120,"[102,18,0,0]"
537,14,1,4,33420,160680,"[102,18,0,0]"
538,14,1,5,34070,162240,"[102,18,0,0]"
539,14,1,6,35056,165360,"[102,18,0,0]"
540,14,1,7,36054,168480,"[102,18,0,0]"
541,14,1,8,37064,171600,"[102,19,0,0]"
542,14,2,1,31916,158000,"[102,18,0,0]"
543,14,2,2,32554,159580,"[102,18,0,0]"
544,14,2,3,33198,161160,"[102,18,0,0]"
